DATOS SECTORIALES EN EL SISTEMA SISSH,,,,,
,,,,,
CONFLICTO,,,,,
Dengue Cl_sico,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"El dengue se caracteriza por comienzo repentino con fiebre y compromiso del estado general. La fiebre suele ser t_picamente bif_sica y se acompa_a de cefalea intensa, mialgias, artralgias, dolor retro-orbitario, anorexia, alteraciones del aparato gastrointestinal y erupci_n. Esta sintomatolog_a se prolonga usualmente por 5 d_as, rara vez m_s de siete. En algunos casos aparece tempranamente eritema generalizado y aun fen_menos hemorr_gicos de poca intensidad como petequias, epistaxis, gingivorragia o metrorragia. Muy ocasionalmente hay fen_menos hemorr_gicos mayores como hemorragia en v_as digestivas"
Dengue Hemorr_gico,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"S_ndrome de alteraci_n en la permeabilidad capilar y la hemostasis, caracterizado por un cuadro cl_nico de dengue com_n que hacia su quinto d_a de evoluci_n inicia manifestaciones de permeabilidad capilar aumentada y trastornos de la hemostasis que generan problemas hermodin_micos. Estos son de variable intensidad y pueden ser mortales al complicarse con acidosis y coagulopat_a"
Difteria,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Enfermedad infecciosa aguda epid_mica, debida a la exotoxina proteica producida por C. diphtheriae (bacilo de Klebs-L_ffler). Se caracteriza por la aparici_n de falsas membranas (pseudomembranas) firmemente adheridas, de exudado fibrinoso, que se forman principalmente en las superficies mucosas de las v_as respiratorias y digestivas superiores."
Encefalitis Equina Venezolana en Humanos,Salud,Ministerio de la Protecci_n Social,2005,Municipal,"La EEV es una enfermedad viral que afecta el sistema nervioso central, siendo el agente etiol_gico el virus de la EEV, el cual est_ agrupado en variedades enzo_ticas o silvestres, que involucran a diferentes vertebrados que act_an como reservorios del virus y diversos mosquitos vectores y cepas epizo_ticas (brotes en caballos) y enzo_ticas, siendo esta _ltima la responsable de los brotes de la enfermedad que se han presentado en el pa_s. Causa infecci_n en animales dom_sticos y silvestres; se evidencia el desarrollo de la enfermedad s_lo en _quidos, el hombre es infectado accidentalmente."
Enfermedades Transmitidas por Alimentos (Brote),Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,Las ETAs son un conjunto de enfermedades que resultan de la ingesti_n de alimentos y/o agua contaminados en cantidades suficientes como para afectar la salud del consumidor
Exposici_n R_bica,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Es la probabilidad de penetraci_n y replicaci_n del virus r_bico en el organismo de una persona que ha sufrido lesi_n por agresi_n de un animal potencialmente transmisor de rabia, o el contacto de la piel lesionada o de mucosa con la saliva o tejido de un animal infectado o presuntamente infectado con el virus r_bico, de manera accidental o por fallas en las medidas preventivas (laboratorios, cavernas)"
Fiebre Amarilla,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"es una enfermedad infecciosa causada por ""el virus de la fiebre amarilla"", que pertenece a la familia de los Flaviviridae, g_nero Flavivirus amaril . Es transmitida por la picadura del mosquito Aedes aegypti y otros mosquitos de los g_neros Aedes , Haemagogus y Sabethes , que se encuentran generalmente a menos de 1.300 metros sobre el nivel del mar, pero Aedes han sido hallados ocasionalmente hasta los 2.200 m.s.n.m., en las zonas tropicales de Am_rica y _frica. En la fiebre amarilla de transmisi_n urbana hay que recordar que Aedes aegypti abunda en zonas h_medas alrededor del agua estancada, y s_lo pica durante el d_a. El per_odo de incubaci_n se sit_a entre los 3 y los 15 d_as. La duraci_n de la enfermedad en caso de curaci_n es de una a dos semanas. Tras el per_odo de incubaci_n cabe distinguir dos formas cl_nicas: la leve y la grave o cl_sica, registr_ndose tambi_n formas de gravedad intermedia."
Fiebre Tifoidea y Paratifoidea,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"enfermedad contagiosa causada por el bacilo de Ebert ( Bacterium thyphosum ) caracterizada por la inflamaci_n y ulceraci_n de las placas de Peyer, congesti_n el bazo y ganglios mesent_ricos y catarro de las mucosas gastrointestinales. La enfermedad cursa con fiebre que alcanza un m_ximo a las dos semanas y dura un total de unas 4 semanas. Las complicaciones m_s frecuentes son hemorragias y perforaciones intestinales"
Hepatitis A (Brote),Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,La hepatitis A es una inflamaci_n (irritaci_n e hinchaz_n) del h_gado causada por el virus de la hepatitis A. Esta enfermedad se transmite por medio de las comidas o de las aguas contaminadas o el contacto con personas infectadas en el momento. El virus de la hepatitis A se aloja en las heces de una persona infectada durante el per_odo de incubaci_n de 15 a 45 d_as antes de que se presenten los s_ntomas y durante la primera semana de la enfermedad. La sangre y las secreciones corporales tambi_n pueden ser infecciosas.
Hepatitis B,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"hepatitis B tambi_n se conoce como hepatitis s_rica y se transmite a trav_s de la sangre y del contacto sexual. Se presenta con mayor frecuencia entre aquellos consumidores de drogas intravenosas que comparten las agujas, y entre la poblaci_n homosexual. Esta es una fotograf_a de part_culas del virus de la hepatitis B, tomada a trav_s de un microscopio electr_nico."
Intoxicaci_n por F_rmacos,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Se produce de manera accidental o bien con fines suicidas. Los s_ntomas pueden ser muy variados a tenor del producto o productos ingeridos. No hay que olvidar que puede darse el caso de combinar varias sustancias de diferente acci_n t_xica, dando lugar a una patolog_a m_s compleja."
Intoxicaci_n por Metales Pesados,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Los metales en forma inorg_nica son los componentes fundamentales de los minerales de la corteza terrestre por lo que se cuentan entre los agentes qu_micos t_xicos de origen natural m_s antiguamente conocidos por el hombre. El contacto humano con compuestos met_licos se produce a trav_s del agua y los alimentos, normalmente a dosis bajas, pero su toxicidad a lo largo de la historia se ha expresado sobre todo por una exposici_n profesional en las actividades mineras y, m_s anecd_ticamente, al emplearse con fines homicidas."
Intoxicaci_n por Metanol,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,Es el envenenamiento ocasionado por la ingesti_n de metanol (a menudo conocido como alcohol de madera). El envenenamiento con metanol produce una profunda acidosis metab_lica que puede ocasionar ceguera y destruir los ri_ones y otros _rganos
Intoxicaci_n por Otras Sustancias Qu_m.,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Muchas sustancias qu_micas producen efectos nocivos sobre la salud, debido a sus propiedades f_sicas y qu_micas que los caracterizan. Al estar en contacto con sustancias qu_micas sint_ticas siempre existe riesgo de intoxicaci_n, sin embargo cada persona debe ser responsable de acatar las normas de seguridad y darle buen uso a los reactivos."
Intoxicaci_n por Plaguicidas,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"La ingesti_n es mortal. Existen dos tipos de toxicidad, aguda y cr_nica, una toxicidad aguda es cuando el efecto es de inmediato, por ejemplo una persona est_ aplicando el plaguicida por primera vez y se descompone, este es un efecto de inmediato. La intoxicaci_n cr_nica se refiere cuando un trabajador ha estado expuesto en forma repetida a los plaguicidas por alg_n tiempo, puede aparecer con s_ntomas importantes o malestares que son ocasionados por una intoxicaci_n cr_nica."
Intoxicaci_n por Solventes,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"El efecto agudo de la intoxicaci_n con solventes es semejante a una borrachera: la persona muestra una excitaci_n inicial que se convierte en desinhibici_n, con una sensaci_n de ligereza, euforia y agitaci_n. Cuando la dosis aumenta se puede observar ataxia, disminuci_n de los reflejos, mareo y desorientaci_n. En casos de intoxicaci_n severa se produce debilidad muscular, alteraciones del lenguaje, nistagmus (los ojos oscilan en forma involuntaria), delirio y ocasionalmente alucinaciones con conductas francamente alteradas. Algunas horas despu_s, el sujeto puede despertarse con una especie de ""cruda"": dolor de cabeza, letargo, incoordinaci_n muscular, desorientaci_n, etc_tera"
Leishmaniasis Cut_nea,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Esta es una enfermedad producida por un par_sito del g_nero Leishmania y transmitida por la picadura de un mosquito conocido como Lutzomya, del cual se conocen en Colombia unas 140 especies; en la Costa Pac_fica, este insecto es conocido con el nombre de ""manta"". Una de las formas m_s comunes de esta enfermedad es la Leishmaniasis cut_nea la cual se desarrolla en el sitio del cuerpo donde pica el mosquito transmisor; all_ se forma una mancha roja que aumenta de tama_o y se va abriendo, formando una _lcera. Estas manchas se presentan generalmente en la cara, tronco, brazos y piernas"
Leishmaniasis Mucosa,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Se contagia mediante la picadura de un mosquito del g_nero Phlebotomus (vulgarmente llamados beatillas), que una vez que ha picado a un animal enfermo transporta en su interior las leishmanias y la transmite a otro animal sano cuando le pica. No se transmite por contacto directo, secreciones (saliva, etc), heridas, orina ni heces. Una leishmaniasis mucosa es dif_cil de reconocer"
Leishmaniasis Visceral,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"La Leishmaniasis Visceral (L.V.), conocida tambi_n como Kala-Azar, fiebre Dum-Dum, Esplenomegalia tropical, etc., es una enfermedad infecciosa sist_mica, aguda o cr_nica, que afecta preferentemente al h_gado, bazo, ganglios, y con menos frecuencia a otros _rganos como ri?_n, aparato digestivo y sistema nervioso central."
Lepra,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"La lepra es causada por el organismo Mycobacterium leprae. No es una enfermedad muy contagiosa (de dif_cil transmisi_n) y tiene un largo per_odo de incubaci_n (tiempo antes de que aparezcan los s_ntomas), lo cual dificulta determinar el momento y el lugar donde se contrajo la enfermedad."
Leptospirosis,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"La leptospirosis es una enfermedad aguda y febril causada por una bacteria del g_nero Leptospira que comprende sobre todo a los animales salvajes y dom_sticos. El hombre se contamina en forma accidental por el contacto con orina o tejidos de animales infectados y presenta cuadros cl_nicos variables que van desde infecciones inaparentes, meningitis as_ptica, hasta formas severas como el s_ndrome de Weil."
Lesiones por P_lvora,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Las lesiones pueden ser causadas por estar muy cerca de los fuegos artificiales cuando explotan; por ejemplo, cuando alguien se agacha para ver m_s de cerca un fuego artificial que ya ha sido encendido, o cuando un volador cambia de direcci_n y se estrella contra alguien."
Malaria Falciparum,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Es una enfermedad parasitaria que involucra fiebres altas, escalofr_os, s_ntomas seudogripales y anemia. La malaria o paludismo es una enfermedad parasitaria que se transmite de un humano a otro por la picadura de mosquitos anofeles infectados. En los humanos, los par_sitos (llamados esporozo_tos) migran hacia el h_gado, donde maduran y se convierten en merozo_tos, los cuales penetran el torrente sangu_neo e infectan los gl_bulos rojos."
Malaria Malarie,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"P. malariae es uno de los par_sitos m_s antiguos de la malaria humana. Debido a ello y a su prolongada interacci_n hospedero/par_sito, la adaptaci_n del par_sito al hombre es m_s evolucionada que en las otras especies, lo cual genera un cuadro cl_nico m_s cr_nico, que trae menor da_o y que tiene una sintomatolog_a m_s benigna (fiebre cuartana). Por esta misma raz_n, los per_odos prepatente y de incubaci_n tienden a ser m_s prolongados en la malaria por P. malariae que por otras especies de Plasmodium."
Malaria Mixta,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"1. Se define como la uni_n de la Malaria Vivax y la Malaria Falciparum, sus s_ntomas m_s conocidos son Fiebre, dolor de cabeza, escalofr_o, estos son c_clicos, es decir, se pueden quitar y volver a dar cada seis horas_."
Malaria Vivax,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"El vivax puede pasar por el bazo sin ser destruido, y de mantenerse latente en el h_gado durante meses o a_os, asintom_tico, hasta que ataca de nuevo, mientras que el falciparum no pasa por el bazo para evitar su destrucci_n"
Meningitis Meningoc_ccica,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"La meningitis se produce por la inflamaci_n de las membranas que circundan el cerebro y la medula espinal. Los s_ntomas de la meningitis incluyen fiebre alta repentina, dolor de cabeza, rigidez del cuello, confusi_n, nauseas, v_mitos, cansancio e incomodidad al mirar luces brillantes"
Meningitis por Haemophilus influenzae,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,Es una infecci_n de las membranas que cubren el cerebro y la m_dula espinal (meninges) causada por la bacteria H. influenzae . Este tipo de meningitis puede seguir a una infecci_n de las v_as respiratorias altas y puede desarrollarse lenta o r_pidamente. La infecci_n se extiende r_pidamente desde las v_as respiratorias hacia la circulaci_n sangu_nea y finalmente hacia las meninges
Meningitis por Neumococo,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"La meningitis por neumococo ocurre cuando esta bacteria llega a pasar al torrente sangu_neo o al sistema nervioso central. Los s_ntomas de este tipo de meningitis incluyen: fiebre alta, rigidez del cuello, dolor de cabeza, v_mitos, cansancio extremo y/o irritabilidad, p_rdida del apetito y convulsiones."
Meningitis Tuberculosa,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,La meningitis tuberculosa es la infecci_n de las meninges por el M. tuberculosis o bacilo de Koch (BK). En los ni_os suele ser una complicaci_n evolutiva de la infecci_n primaria
Mortalidad Materna,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Defunci_n de una mujer durante el embarazo, el parto o durante los 42 d_as siguientes a la terminaci_n del embarazo, independiente del sitio y del tiempo de duraci_n de _ste."
Mortalidad Perinatal,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,Muerte del producto que alcanza un m_nimo de 1000 gramos o 28 semanas de gestaci_n y hasta los siete primeros d_as de vida. Los factores de riesgo para mortalidad perinatal establecidos son el bajo peso al nacer (BPN) y la prematurez.
Mortalidad por EDA 0-4 A_os,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,La aparici_n de epidemias se ha visto favorecida por elementos de tipo epidemiol_gicos que han sido identificadas como factores de riesgo para el desencadenamiento y posterior desarrollo de episodios diarr_icos
Mortalidad por IRA 0-4 A_os,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Se define la infecci_n respiratoria aguda como el conjunto de infecciones del aparato respiratorio causadas por microorganismos virales, bacterianos y otros, con un per_odo inferior a 15 d_as, con la presencia de uno o m_s s_ntomas o signos cl_nicos como : tos, rinorrea, obstrucci_n nasal, odinofagia, otalgia, disfon_a, respiraci_n ruidosa, dificultad respiratoria, los cuales pueden estar o no acompa_ados de fiebre; siendo la infecci_n respiratoria aguda la primera causa de morbimortalidad en nuestro medio, como tambi_n de consulta a los servicios de salud y de internaci_n en menores de cinco a_os."
Par_lisis Fl_cida Aguda (< de 15 a_os),Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"El s_ndrome de Par_lisis Fl_cida Aguda (PFA) se caracteriza por un inicio r_pido de debilidad muscular en las extremidades, afectando en ocasiones a los m_sculos de la respiraci_n y/o a las estructuras anat_micas dependientes del tronco del enc_falo (bulbares, etc.), que suele alcanzar una intensidad m_xima entre los d_as 1 y 10 a partir de su comienzo"
Parotiditis,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"La parotiditis, vulgarmente conocida como paperas, es una enfermedad infecciosa aguda en la que destaca el agrandamiento doloroso de las gl_ndulas salivales par_tidas situadas en la zona de la mand_bula. Se trata de una enfermedad muy contagiosa, en cuya evoluci_n se describen 4 etapas: periodo de incubaci_n, fase de pr_dromos, inflamaci_n de las gl_ndulas par_tidas y disminuci_n de la inflamaci_n glandular"
Rabia Animal,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"La rabia es una infecci_n viral que se presenta en ciertos animales de sangre caliente, causada por un virus de la familia de los Rhabdoviridae. Ataca el sistema nervioso y, una vez que se desarrollan los s_ntomas, es 100 por ciento mortal en los animales si no reciben tratamiento. El virus de la rabia entra en el cuerpo a trav_s de un corte o ara_azo, o a trav_s de las membranas mucosas (como el epitelio de la boca y los ojos) y viaja al sistema nervioso central. Una vez que la infecci_n llega al cerebro, el virus se desplaza por los nervios y se multiplica en diferentes _rganos."
Rabia Humana,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Los s_ntomas m_s frecuentes son: fiebre, dolores de cabeza, malestar general, disminuci_n del apetito y v_mitos. Los seres humanos pueden contraer la rabia al estar expuestos a la saliva o el tejido nervioso de un animal con rabia, a trav_s de una mordida o un ara_azo"
Rub_ola,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"La rub_ola es una enfermedad leve pero, a la vez, altamente contagiosa, causada por un virus. Se caracteriza por la erupci_n de la piel, la inflamaci_n de las gl_ndulas y, especialmente en los adultos, dolores en las articulaciones."
Rub_ola Cong_nita,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Alrededor del 25 por ciento de los beb_s cuyas madres contraen rub_ola durante el primer trimestre del embarazo nacen con uno o m_s defectos de nacimiento que, en su conjunto, se denominan s_ndrome cong_nito de rub_ola. Entre ellos se encuentran ciertos defectos de los ojos (que causan p_rdida de visi_n o ceguera), p_rdida de audici_n, algunos defectos card_acos, retraso mental y, con menor frecuencia, trastornos del movimiento."
Sarampi_n,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"El sarampi_n es una infecci_n aguda exantematica, es una virosis humana para la que hay una susceptibilidad universal y que ataca toda la econom_a. Es mucho m_s frecuente en ni_os peque_os. Es contagiosa y su periodo de mayor contagiosidad es durante la etapa anterior a la erupci_n, pero contin_a en tanto permanezca el exantema"
S_filis Cong_nita,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"La s_filis es una ETS infecciosa cr_nica producida por la bacteria espiroqueta Treponema pallidum, subespecie pallidum (pronunciado p_lidum ). La bacteria que la causa se disemina a trav_s de la piel lesionada o las membranas mucosas. Su diseminaci_n se presenta con m_s frecuencia por contacto sexual."
S_filis Gestacional,Salud,Ministerio de la Protecci_n Social,2004-2007,Municipal,"Es una infecci_n de transmisi_n sexual (ITS). Transmitida de madre a hijo, durante la gestaci_n, el parto, o la lactancia, y/o a trav_s del contacto sangu_neo. La infecci_n sifil_tica del feto produce, dependiendo de su severidad: aborto tard_o espont_neo (20 - 40%), mortinato (20 - 25%), parto pret_rmino (15 - 55%) con infecci_n cong_nita, reci_n nacido vivo a t_rmino con infecci_n cong_nita (40 - 70%)"
T_tanos Accidental,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"El T_tanos accidental es una toxiinfecci_n causada por la exotoxina producida por la forma vegetativa del Clostridium tetanii, microorganismo anaerobio Gram positivo, que se multiplica r_pidamente en los tejidos en descomposici_n. Enfermedad aguda inducida por una exotoxina que se caracteriza por contracciones musculares dolorosas, primero en los maseteros y en los m_sculos del cuello y despu_s en los del tronco, espasmos generalizados), espasmos de los m_sculos de la masticaci_n rigidez muscular progresiva, afectando los m_sculos rectos abdominales y diafragma, ocasionando insuficiencia respiratoria y contracciones generalmente desencadenadas por est_mulos luminosos, sonoros o por la manipulaci_n del paciente."
T_tanos Neonatal,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Se llama t_tanos neonatal a la infecci_n del reci_n nacido debido a la introducci_n de esporas tet_nicas a trav_s del corte del cord_n mbilical con un instrumento sucio, generalmente durante partos no atendidos profesionalmente. Se puede producir tambi_n despu_s del parto, al _curar_ el mu?_n umbilical con sustancias contaminadas. Un signo com_n entre los reci_n nacidos afectados es la incapacidad de alimentarse, por dificultad progresiva para succionar"
Tifus End_mico trasmitido por pulgas,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,Infecci_n rickettsial transmitida por la picadura de pulgas de ratas infectadas por Rickettsia typhi. Es end_mica en muchas regiones del mundo y tiene una evoluci_n similar a la del tifus epid_mico pero es menos grave. La fiebre y la erupci_n cut_nea duran entre 10 y 14 d_as; deja inmunidad permanente. El tratamiento consiste en reposo y una ingesta adecuada de l_quidos y tetraciclinas.
Tifus Epid_mico trasmitido por piojos,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Infecci_n grave de curso agudo producida por rickettsias y caracterizada por fiebre elevada prolongada, cefaleas y una erupci_n maculopapular oscura que cubre la mayor parte del cuerpo."
Tosferina,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,Se trata de una de las enfermedades infantiles m_s contagiosa y est_ producida por la Bordetella pertusis. Se transmite la mayor_a de las veces por contacto directo con una persona infectada o inhalando part_culas que _sta esparce al toser.
Tuberculosis Extra Pulmonar,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Denominado tisis o peste blanca , es una enfermedad infecciosa cr_nica, localizada en cualquier parte del organismo, fuera de los conductos respiratorios inferiores y del par_nquima pulmonar, causada por diferentes especies de Mycobacterium , denominadas colectivamente bacilos tubeculosos"
Tuberculosis Pulmonar,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Es una infecci_n bacteriana contagiosa causada por el Mycobacterium tuberculosis ( M. tuberculosis ). _sta compromete principalmente los pulmones, pero puede extenderse a otros _rganos. La tuberculosis pulmonar primaria se desarrolla en pocas personas cuyo sistema inmune no contiene con _xito la infecci_n primaria"
Varicela (Brote),Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"La varicela es una enfermedad contagiosa producida por el virus varicela-zoster, un virus de la familia de los herpesvirus que tambi_n es el causante del herpes zoster. Es una de las enfermedades cl_sicas de la infancia, que en los ni_os suele ser leve pero en adolescentes y adultos tiene mayor riesgo de complicaciones. La enfermedad dura alrededor de una semana."
VIH/SIDA,Salud,Ministerio de la Protecci_n Social,2005-2007,Municipal,"Es una infecci_n v_rica causada por el virus de la inmunodeficiencia humana (VIH) que destruye en forma gradual el sistema inmune, causando infecciones dif_ciles de combatir para el cuerpo."
,,,,,
SEGURIDAD ALIMENTARIA,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Desnutrici_n aguda menores de 5 a_os,Alimentos y nutrici_n,Profamilia ENDS,2005-2010,Departamental,Delgadez extrema. Resulta de una perdida de peso asociada con periodos recientes de hambruna o enfermedad que se desarrolla muy r_pidamente y es limitada en el tiempo
Desnutrici_n cr_nica menores de 5 a_os,Alimentos y nutrici_n,Profamilia ENDS,2005-2010,Departamental,"Retardo de altura para la edad (A/E). Asociada normalmente a situaciones de pobreza, y relacionada con dificultades de aprendizaje y menos desempe_o econ_mico."
Desnutrici_n global menores de 5 a_os,Alimentos y nutrici_n,Profamilia ENDS,2005-2010,Departamental,Deficiencia de peso para la edad. Insuficiencia ponderal. Indice compuesto de los anteriores (P/A x A/E)
Personas que por falta de dinero no consumieron ninguna de las 3 comidas b_sicas,Alimentos y nutrici_n,DANE,2005,Municipal,Porcentaje de personas que por falta de dinero no consumieron en la semana de referencia de la encuesta ninguna de las 3 comidas b_sicas.
Porcentaje de Hogares con Inseguridad Alimentaria Moderada,Alimentos y nutrici_n,ENSIN,2010,Departamental,"Un hogar en un estado de inseguridad alimentaria moderada sacrifica la calidad con m_s frecuencia, comiendo una dieta mon_tona o alimentos menos apetecibles algunas veces o con frecuencia y/o ha comenzado a reducir la cantidad reduciendo el tama_o o n_mero de las comidas, casi nunca o algunas veces. Sin embargo, no experimenta ninguna de las tres condiciones m_s severas."
Porcentaje de Hogares con Inseguridad Alimentaria seg_n escala ELCSA,Alimentos y nutrici_n,ENSIN,2010,Departamental,"Medici_n de la inseguridad alimentaria usando escalas basadas en la experiencia de los hogares seg_n escala latinoamericana y caribe_a de seguridad alimentaria ELCSA. Seg_n la ENSIN, la inseguridad alimentaria hace referencia a la disponibilidad limitada o incierta de alimentos nutricionalmente adecuados e inocuos o la capacidad limitada e incierta de adquirir alimentos adecuados en formas socialmente aceptables"
Porcentaje de hogares con inseguridad alimentaria severa,Alimentos y nutrici_n,ENSIN,2010,Departamental,"Un hogar con inseguridad alimentaria severa ha pasado a reducir el tama_o de las comidas o el n_mero de comidas con frecuencia y/o experimenta cualquiera de las tres condiciones m_s severas (pasarse todos el d_a sin comer, irse a la cama con hambre o falta total de alimentos), incluso tan pocas veces como casi nunca. En otras palabras, cualquier familia que experimente una de estas tres condiciones incluso una sola vez en los _ltimos 30 d_as se considera que padece un estado de inseguridad alimentaria severo."
Porcentaje de madres con ni_os entre 0 y 23 meses que no recibi_ consejos sobre lactancia,Alimentos y nutrici_n,ENSIN,2010,Departamental,N_mero de madres que no recibieron consejos de alimentaci_n sobre lactancia materna sobre el total de madres lactantes
Porcentaje de personas que por falta de dinero no consumen ninguna de las 3 comidas b_sicas,Alimentos y nutrici_n,DANE,2005,Municipal,N_mero de personas que por falta de dinero no consumieron en la semana de referencia de la encuesta ninguna de las 3 comidas b_sicas.
Prevalencia de Anemia ene ni_os de 6 a 59 meses,Alimentos y nutrici_n,ENSIN,2010,Departamental,"Ni_os entre 6 a 59 meses con deficiencia de hierro y vitamina A, prevalencia del parasitismo intestinal en poblaci_n infantil."
,,,,,
VIVIENDA E INFRAESTRUCTURA,,,,,
Dato,Sector,Fuente,Periodo Disponible,MDGD,Definici_n
Cobertura Acueducto Superintendencia,Infraestructura y Vivienda,Super Intendencia de Servicios Domiciliarios,2007-2009,Municipal,Porcentaje de Viviendas que tienen acceso al servicio de Acueducto
Cobertura alcantarillado Superintendencia,Infraestructura y Vivienda,Super Intendencia de Servicios Domiciliarios,2007-2009,Municipal,Porcentaje de Viviendas que tienen acceso al servicio de Alcantarillado
Cobertura Gas natural domiciliario,Infraestructura y Vivienda,DANE,2005,Municipal,(N_mero de viviendas que cuentan con el servicio de gas/ Total de viviendas en el municipio) * 100
Cobertura Gas Natural Domiciliario. Encuesta Calidad de Vida,Infraestructura y Vivienda,DANE,2008-2012,Departamental,"Porcentaje de Viviendas que tienen acceso al servicio de Gas Natural Domiciliario. La encuesta de calidad de vida, esta dise_ada a nivel regional. Este dato esta replicado a nivel departamental seg_n a la regi_n que pertenezca."
Cobertura Servicio Alcantarillado,Infraestructura y Vivienda,DANE,2005,Municipal,Porcentaje de Viviendas que tienen acceso al servicio de Alcantarillado
Cobertura Servicio Alcantarillado. Encuesta Calidad de Vida,Infraestructura y Vivienda,DANE,2008-2012,Departamental,"Porcentaje de Viviendas que tienen acceso al servicio de Alcantarillado. La encuesta de calidad de vida, esta dise_ada a nivel regional. Este dato esta replicado a nivel departamental seg_n a la regi_n que pertenezca."
Cobertura Servicio de Acueducto,Infraestructura y Vivienda,DANE,2005,Municipal,Porcentaje de Viviendas que tienen acceso al servicio de Acueducto
Cobertura Servicio de Acueducto. Encuesta Calidad de Vida,Infraestructura y Vivienda,DANE,2008-2012,Departamental,"Porcentaje de Viviendas que tienen acceso al servicio de Acueducto. La encuesta de calidad de vida, esta dise_da a nivel regional. Este dato esta replicado a nivel departamental seg_n a la regi_n que pertenezca."
Cobertura Servicio de Energ_a El_ctrica. Encuesta Calidad de Vida,Infraestructura y Vivienda,DANE,2008-2012,Departamental,"Porcentaje de Viviendas que tienen acceso al servicio de Energ_a El_ctrica. La encuesta de calidad de vida, esta dise_ada a nivel regional. Este dato esta replicado a nivel departamental seg_n a la regi_n que pertenezca."
Cobertura Servicio Energ_a El_ctrica,Infraestructura y Vivienda,DANE,2005,Municipal,Porcentaje de Viviendas que tienen acceso al servicio de Energ_a El_ctrica
Cobertura Servicio Telef_nico,Infraestructura y Vivienda,DANE,2005,Municipal,Porcentaje de Viviendas que tienen acceso al servicio telef_nico
Cobertura Sevicio Telef_nico. Encuesta Calidad de Vida,Infraestructura y Vivienda,DANE,2008-2012,Departamental,"Porcentaje de Viviendas que tienen acceso al servicio Telef_nico. La encuesta de calidad de vida, esta dise_da a nivel regional. Este dato esta replicado a nivel departamental seg_n a la regi_n que pertenezca."
Cobertura Vivienda SISBEN con Alcantarillado,Infraestructura y Vivienda,SISBEN,2004-2012,Municipal,Porcentaje de Viviendas registradas en el SISBEN que tienen acceso al servicio de Alcantarillado
